player_id,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,was_mvp
2130,54,9.4,6.2,1.0,-1.5,0.076,0.225,0.217,0.511,0.081,13,0
2132,51,6.5,6.3,0.3,-1.2,0.12,0.214,0.139,0.643,0.023,13,0
2136,78,9.9,8.1,0.7,3.1,0.092,0.252,0.172,0.5379999999999999,0.042,13,0
2081,9,0.7,0.3,0.9,-26.9,0.0,0.062,0.102,0.255,0.222,13,0
2149,75,16.6,3.9,3.1,12.1,0.017,0.123,0.253,0.541,0.177,13,0
2175,76,6.6,2.1,1.0,-8.4,0.026,0.101,0.172,0.527,0.085,13,0
2183,82,9.4,2.3,1.5,4.2,0.03,0.081,0.165,0.5920000000000001,0.09,13,0
2187,63,10.0,2.3,4.5,-10.0,0.017,0.091,0.203,0.513,0.284,13,0
2189,5,1.2,0.6,1.4,-22.3,0.0,0.081,0.185,0.276,0.304,13,0
2198,73,8.7,1.8,2.1,-4.8,0.015,0.085,0.194,0.5379999999999999,0.16399999999999998,13,0
2202,65,15.3,5.4,2.1,-3.1,0.045,0.126,0.203,0.534,0.096,13,0
2208,6,0.8,0.7,0.5,-4.7,0.024,0.075,0.131,0.25,0.091,13,0
2212,52,12.0,7.2,0.9,-7.4,0.078,0.187,0.203,0.481,0.048,13,0
2222,81,20.8,11.7,1.8,-1.8,0.127,0.243,0.247,0.546,0.08,13,0
2225,78,4.3,3.8,0.5,0.2,0.12,0.2,0.152,0.539,0.058,13,0
2233,64,7.4,5.4,0.8,7.9,0.107,0.197,0.189,0.491,0.058,13,0
2159,41,6.2,4.3,1.1,-8.0,0.063,0.166,0.159,0.449,0.073,13,0
1919,6,2.3,2.3,0.2,11.1,0.13699999999999998,0.152,0.193,0.371,0.031,13,0
1117,52,2.8,4.1,0.4,-1.7,0.192,0.202,0.102,0.564,0.049,13,0
2059,15,2.4,1.5,0.2,-19.5,0.029,0.17600000000000002,0.163,0.405,0.042,13,0
1929,54,3.7,2.7,0.4,5.8,0.094,0.193,0.154,0.612,0.058,13,0
1942,52,4.0,2.8,0.6,-11.1,0.081,0.155,0.158,0.499,0.077,13,0
1943,69,7.5,2.8,1.5,0.8,0.039,0.125,0.18600000000000005,0.5329999999999999,0.11,13,0
1947,72,10.0,6.1,2.2,-6.5,0.085,0.174,0.197,0.507,0.132,13,0
1955,80,17.5,4.5,5.9,-3.1,0.018000000000000002,0.118,0.218,0.568,0.241,13,0
1956,70,4.2,1.9,0.3,-1.1,0.037000000000000005,0.163,0.174,0.551,0.054000000000000006,13,0
1958,81,20.6,5.0,3.7,1.4,0.031,0.121,0.275,0.518,0.17,13,0
1962,80,7.3,2.3,4.8,-2.7,0.012,0.093,0.146,0.539,0.272,13,0
1968,81,16.5,3.3,11.0,7.1,0.016,0.091,0.228,0.615,0.483,13,0
1969,54,2.1,0.6,0.1,-16.5,0.003,0.103,0.142,0.505,0.025,13,0
1973,21,2.5,2.0,0.0,-11.7,0.128,0.16,0.18,0.45,0.0,13,0
2067,56,16.0,2.4,5.7,5.8,0.005,0.084,0.258,0.542,0.304,13,0
1979,32,3.3,0.9,1.2,0.1,0.032,0.119,0.232,0.518,0.289,13,0
1988,82,9.0,7.5,0.9,-0.8,0.114,0.187,0.16699999999999998,0.521,0.049,13,0
1998,8,1.3,0.3,0.1,1.5,0.0,0.063,0.17800000000000002,0.425,0.056,13,0
1999,49,13.5,5.1,3.3,-5.0,0.049,0.13699999999999998,0.193,0.53,0.165,13,0
2009,78,8.4,4.5,2.9,-8.3,0.029,0.202,0.217,0.459,0.224,13,0
2016,82,6.0,4.7,1.8,2.4,0.038,0.14800000000000002,0.109,0.509,0.08800000000000001,13,0
2017,67,13.8,5.2,1.4,-3.1,0.07,0.121,0.213,0.523,0.075,13,0
2020,49,3.6,3.2,0.5,0.1,0.094,0.142,0.13,0.511,0.047,13,0
2033,78,17.9,10.1,3.2,7.0,0.109,0.265,0.264,0.56,0.175,13,0
2042,18,7.5,2.3,0.8,-2.3,0.052000000000000005,0.123,0.211,0.579,0.076,13,0
2056,56,8.6,1.9,2.0,-4.7,0.04,0.07400000000000001,0.194,0.5710000000000001,0.16699999999999998,13,0
2058,54,6.1,2.7,1.3,1.7,0.07,0.124,0.194,0.54,0.141,13,0
1981,47,10.3,3.2,3.8,-6.7,0.037000000000000005,0.102,0.211,0.507,0.254,13,0
1686,71,18.3,4.4,3.1,5.3,0.021,0.132,0.237,0.613,0.15,13,0
2075,30,8.2,3.1,3.3,-9.6,0.038,0.124,0.208,0.466,0.22,13,0
1681,2,2.5,0.0,1.5,13.6,0.0,0.0,0.293,0.512,0.75,13,0
1290,70,3.0,4.2,0.7,-5.2,0.084,0.237,0.114,0.489,0.069,13,0
1291,48,3.3,3.7,0.5,-9.4,0.096,0.236,0.15,0.47,0.056,13,0
1296,52,7.2,2.1,1.7,9.5,0.013,0.12,0.16,0.62,0.13699999999999998,13,0
1298,68,9.1,3.6,4.5,2.0,0.06,0.114,0.183,0.536,0.281,13,0
1301,12,3.0,1.5,0.9,-2.3,0.008,0.135,0.122,0.505,0.112,13,0
1304,49,2.6,1.8,0.3,9.9,0.104,0.149,0.161,0.5329999999999999,0.055,13,0
1305,78,17.9,8.0,2.1,4.8,0.08199999999999999,0.187,0.231,0.535,0.099,13,0
1308,82,10.8,9.8,3.3,6.1,0.08,0.263,0.17,0.5329999999999999,0.159,13,0
1320,45,9.1,3.2,3.0,-3.3,0.023,0.124,0.206,0.472,0.196,13,0
1337,76,29.7,7.3,8.6,10.8,0.03,0.185,0.333,0.604,0.398,13,1
1338,44,9.5,1.6,1.5,8.0,0.016,0.08199999999999999,0.246,0.526,0.125,13,0
1342,20,4.0,3.1,0.0,-1.1,0.096,0.195,0.172,0.515,0.0,13,0
1344,25,2.3,0.7,0.5,2.5,0.064,0.096,0.24,0.494,0.155,13,0
1346,13,1.0,1.1,0.7,-8.5,0.009000000000000001,0.119,0.134,0.21,0.105,13,0
1361,79,4.7,4.4,0.4,5.1,0.128,0.212,0.147,0.562,0.04,13,0
1363,64,14.0,2.9,4.2,-2.1,0.016,0.101,0.212,0.5760000000000001,0.219,13,0
