pts,reb,ast,net_rating,usg_pct,ast_pct,was_mvp
2.2,0.6,0.2,0.4,0.17800000000000002,0.047,0
1.8,3.1,0.1,-10.4,0.067,0.019,0
2.4,1.9,0.6,0.0,0.168,0.112,0
6.5,3.8,1.0,-1.5,0.243,0.106,0
6.6,2.0,4.3,-6.8,0.149,0.316,0
5.0,3.2,1.6,7.7,0.095,0.08199999999999999,0
1.0,0.6,1.5,-5.1,0.175,0.34700000000000003,0
4.5,1.7,0.5,-5.6,0.168,0.062,0
9.7,3.0,2.9,11.7,0.155,0.192,0
8.4,5.9,1.0,-7.3,0.192,0.087,0
1.9,1.8,0.0,-14.8,0.211,0.0,0
9.1,4.2,3.6,-10.2,0.132,0.2,0
7.8,2.4,1.8,-0.6,0.158,0.116,0
1.5,0.7,0.2,-8.7,0.134,0.055,0
23.1,7.0,4.1,3.3,0.301,0.203,0
6.0,4.7,1.0,-0.2,0.163,0.07400000000000001,0
2.8,2.2,0.8,-4.0,0.133,0.107,0
10.1,2.7,2.8,-5.1,0.228,0.21600000000000005,0
11.9,7.6,0.6,3.3,0.175,0.032,0
7.7,5.3,0.7,3.2,0.152,0.044,0
10.2,3.7,1.1,3.7,0.226,0.073,0
4.1,1.9,0.6,7.3,0.151,0.073,0
12.1,2.9,1.3,-2.9,0.2,0.083,0
9.6,3.7,0.9,-4.8,0.14,0.047,0
3.4,2.6,0.6,0.0,0.155,0.07400000000000001,0
3.4,3.9,0.1,10.9,0.079,0.009000000000000001,0
7.2,3.3,1.6,-3.8,0.127,0.084,0
12.3,5.5,1.7,-5.2,0.204,0.095,0
4.2,3.3,0.5,-17.3,0.196,0.069,0
5.3,1.0,1.8,-11.8,0.245,0.345,0
8.4,3.8,0.6,-11.5,0.201,0.048,0
3.0,0.8,0.7,1.4,0.217,0.147,0
0.9,1.1,0.3,-1.1,0.232,0.14300000000000002,0
3.6,1.3,3.2,7.3,0.173,0.349,0
1.4,1.9,1.1,-3.3,0.104,0.195,0
2.7,0.8,0.3,-14.0,0.229,0.065,0
